Transaction ID,Date,Time,Items & Customizations,Payment Method,Subtotal (RM),Voucher Code,Discount (RM),Grand Total (RM),Cheese tofu,Fish ball,Fish cake,Hotdog,Lemonade,Lobster ball,Maggie,Mocktail
158,14/01/2026,11:51:04,1x Hotdog; 1x Cheese tofu; 1x Fish cake,QR,4.5,,0,4.5,1,0,1,1,0,0,0,0
159,14/01/2026,11:57:23,1x Fish ball; 1x Cheese tofu; 1x Maggie,QR,4.5,,0,4.5,1,1,0,0,0,0,1,0
160,14/01/2026,12:00:16,1x Cheese tofu; 1x Fish cake; 1x Fish ball,QR,4.5,,0,4.5,1,1,1,0,0,0,0,0
161,14/01/2026,12:00:53,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
162,14/01/2026,12:07:48,1x Cheese tofu; 1x Lobster ball; 1x Fish cake; 1x Maggie,QR,6,,0,6,1,0,1,0,0,1,1,0
163,14/01/2026,12:10:29,1x Maggie; 1x Cheese tofu; 1x Lobster ball,QR,4.5,,0,4.5,1,0,0,0,0,1,1,0
164,14/01/2026,12:10:48,1x Maggie; 1x Fish cake; 1x Cheese tofu,QR,4.5,,0,4.5,1,0,1,0,0,0,1,0
165,14/01/2026,12:14:12,1x Fish ball; 1x Lobster ball; 1x Fish cake; 1x Hotdog; 1x Cheese tofu,QR,7.5,,0,7.5,1,1,1,1,0,1,0,0
166,14/01/2026,12:16:07,1x Fish cake; 1x Lobster ball; 1x Cheese tofu; 1x Fish ball,QR,6,,0,6,1,1,1,0,0,1,0,0
167,14/01/2026,12:16:59,1x Mocktail; 1x Fish cake; 1x Cheese tofu,QR,7,RM 1 OFFER,1,6,1,0,1,0,0,0,0,1
168,14/01/2026,12:24:31,1x Fish cake; 1x Fish ball,QR,3,,0,3,0,1,1,0,0,0,0,0
169,14/01/2026,12:28:09,1x Maggie; 1x Hotdog; 1x Lobster ball; 2x Cheese tofu; 1x Mocktail,QR,11.5,RM 1 OFFER,1,10.5,2,0,0,1,0,1,1,1
170,14/01/2026,12:37:20,1x Cheese tofu; 1x Fish ball; 1x Lemonade,QR,7,RM 1 OFFER,1,6,1,1,0,0,1,0,0,0
171,14/01/2026,12:39:50,1x Fish cake; 1x Lobster ball; 1x Hotdog; 1x Maggie; 1x Lemonade,QR,10,RM 1 OFFER,1,9,0,0,1,1,1,1,1,0
172,14/01/2026,12:48:50,1x Cheese tofu; 1x Maggie; 1x Lobster ball; 1x Lemonade,QR,8.5,RM 1 OFFER,1,7.5,1,0,0,0,1,1,1,0
173,14/01/2026,12:50:36,1x Fish ball; 1x Lobster ball; 1x Fish cake; 1x Hotdog; 1x Cheese tofu; 1x Maggie,QR,9,,0,9,1,1,1,1,0,1,1,0
174,14/01/2026,12:52:10,1x Mocktail,QR,4,,0,4,0,0,0,0,0,0,0,1
175,14/01/2026,12:55:35,1x Lemonade,QR,4,RM 1 OFFER,1,3,0,0,0,0,1,0,0,0
176,14/01/2026,13:03:14,1x Maggie; 1x Lobster ball,QR,3,,0,3,0,0,0,0,0,1,1,0
177,14/01/2026,13:03:50,1x Maggie,QR,1.5,,0,1.5,0,0,0,0,0,0,1,0
178,14/01/2026,13:04:23,1x Fish cake; 1x Lobster ball; 1x Fish ball; 1x Cheese tofu; 1x Maggie,QR,7.5,,0,7.5,1,1,1,0,0,1,1,0
179,14/01/2026,13:06:48,2x Fish ball; 2x Lobster ball; 2x Hotdog; 2x Fish cake; 1x Maggie; 1x Lemonade,QR,17.5,RM 1 OFFER,0,16.5,0,2,2,2,1,2,1,0
180,14/01/2026,13:07:24,1x Maggie; 1x Fish cake; 1x Cheese tofu; 1x Hotdog,CASH,6,,0,6,1,0,1,1,0,0,1,0
181,14/01/2026,13:07:45,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
182,14/01/2026,13:14:05,1x Lemonade; 1x Fish cake,CASH,5.5,,0,5.5,0,0,1,0,1,0,0,0
183,14/01/2026,13:21:27,2x Cheese tofu; 2x Fish ball; 1x Maggie,QR,7.5,,0,7.5,2,2,0,0,0,0,1,0
184,14/01/2026,13:24:26,4x Fish cake; 1x Maggie; 1x Cheese tofu,QR,9,,0,9,1,0,4,0,0,0,1,0
185,14/01/2026,13:27:51,1x Cheese tofu; 1x Lobster ball; 1x Hotdog,QR,4.5,,0,4.5,1,0,0,1,0,1,0,0
186,14/01/2026,13:29:41,1x Fish cake; 1x Lobster ball; 1x Cheese tofu; 1x Hotdog,QR,6,,0,6,1,0,1,1,0,1,0,0
187,14/01/2026,13:30:41,1x Fish cake,QR,1.5,,0,1.5,0,0,1,0,0,0,0,0
188,14/01/2026,13:32:36,1x Mocktail,QR,4,,0,4,0,0,0,0,0,0,0,1
189,14/01/2026,13:35:11,1x Maggie; 1x Cheese tofu,QR,3,,0,3,1,0,0,0,0,0,1,0
190,14/01/2026,13:37:13,1x Maggie; 1x Cheese tofu; 1x Fish cake,QR,4.5,,0,4.5,1,0,1,0,0,0,1,0
191,14/01/2026,13:38:00,3x Maggie; 1x Cheese tofu; 1x Lobster ball,QR,7.5,,0,7.5,1,0,0,0,0,1,3,0
192,14/01/2026,13:38:11,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
193,14/01/2026,13:39:33,1x Maggie; 1x Hotdog; 1x Cheese tofu,QR,4.5,,0,4.5,1,0,0,1,0,0,1,0
194,14/01/2026,13:39:48,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
195,14/01/2026,13:40:37,2x Cheese tofu; 2x Maggie,CASH,6,,0,6,2,0,0,0,0,0,2,0
196,14/01/2026,13:41:03,2x Maggie; 1x Cheese tofu; 1x Fish cake,QR,6,,0,6,1,0,1,0,0,0,2,0
197,14/01/2026,13:41:41,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
198,14/01/2026,13:44:30,1x Cheese tofu; 1x Lobster ball; 1x Fish ball,QR,4.5,,0,4.5,1,1,0,0,0,1,0,0
199,14/01/2026,13:44:50,1x Cheese tofu; 1x Fish cake; 1x Maggie,QR,4.5,,0,4.5,1,0,1,0,0,0,1,0
200,14/01/2026,13:45:51,2x Cheese tofu; 1x Maggie,QR,4.5,,0,4.5,2,0,0,0,0,0,1,0
201,14/01/2026,13:47:46,1x Maggie; 1x Lobster ball; 1x Cheese tofu; 1x Lemonade,QR,8.5,RM 1 OFFER,1,7.5,1,0,0,0,1,1,1,0
202,14/01/2026,13:48:26,2x Maggie; 2x Cheese tofu; 1x Hotdog,QR,7.5,,0,7.5,2,0,0,1,0,0,2,0
203,14/01/2026,13:54:23,1x Maggie; 1x Cheese tofu; 1x Fish cake,QR,4.5,,0,4.5,1,0,1,0,0,0,1,0
204,14/01/2026,14:00:36,3x Cheese tofu; 1x Fish ball; 1x Lobster ball; 1x Fish cake; 1x Hotdog; 1x Maggie; 1x Lemonade,QR,16,RM 1 OFFER,1,15,3,1,1,1,1,1,1,0
205,14/01/2026,14:01:20,1x Maggie; 1x Fish ball; 1x Hotdog,QR,4.5,,0,4.5,0,1,0,1,0,0,1,0
206,14/01/2026,14:02:36,1x Maggie; 1x Hotdog; 1x Cheese tofu,QR,4.5,,0,4.5,1,0,0,1,0,0,1,0
207,14/01/2026,14:03:41,1x Fish ball; 1x Lobster ball; 1x Fish cake; 1x Hotdog; 1x Cheese tofu; 1x Maggie; 1x Mocktail,QR,13,RM 1 OFFER,1,12,1,1,1,1,0,1,1,1
208,14/01/2026,14:09:05,1x Maggie; 1x Lobster ball; 1x Cheese tofu,QR,4.5,,0,4.5,1,0,0,0,0,1,1,0
209,14/01/2026,14:15:19,1x Maggie; 1x Fish cake; 1x Hotdog,QR,4.5,,0,4.5,0,0,1,1,0,0,1,0
210,14/01/2026,14:21:03,1x Mocktail,QR,4,,0,4,0,0,0,0,0,0,0,1
211,14/01/2026,14:27:26,1x Fish cake; 1x Fish ball; 1x Maggie; 1x Lemonade; 1x Maggie; 1x Cheese tofu; 1x Lemonade; 1x Maggie; 1x Fish cake; 1x Fish ball; 1x Hotdog,QR,21.5,RM2 VOUCHER,2,19.5,1,2,2,1,2,0,3,0
212,14/01/2026,14:30:10,1x Fish ball; 1x Hotdog; 1x Cheese tofu; 1x Maggie; 1x Lemonade,CASH,10,RM 1 OFFER,1,9,1,1,0,1,1,0,1,0
213,14/01/2026,14:30:43,1x Maggie; 1x Maggie,QR,3,,0,3,0,0,0,0,0,0,2,0
214,14/01/2026,14:32:40,1x Maggie; 1x Cheese tofu; 1x Fish cake; 1x Hotdog,QR,6,,0,6,1,0,1,1,0,0,1,0
215,14/01/2026,14:33:04,1x Fish cake; 1x Cheese tofu; 1x Hotdog; 1x Maggie,QR,6,,0,6,1,0,1,1,0,0,1,0
216,14/01/2026,14:35:46,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
217,14/01/2026,14:55:05,1x Maggie; 1x Cheese tofu; 2x Fish cake,QR,6,,0,6,1,0,2,0,0,0,1,0
218,14/01/2026,14:56:56,1x Maggie; 1x Fish cake; 1x Hotdog,QR,4.5,,0,4.5,0,0,1,1,0,0,1,0
219,14/01/2026,14:59:52,1x Lobster ball; 1x Cheese tofu; 1x Hotdog; 1x Fish cake; 1x Maggie,QR,7.5,,0,7.5,1,0,1,1,0,1,1,0
220,14/01/2026,15:01:28,1x Maggie; 1x Cheese tofu,QR,3,,0,3,1,0,0,0,0,0,1,0
221,14/01/2026,15:04:29,1x Maggie; 1x Cheese tofu; 1x Fish cake,QR,4.5,,0,4.5,1,0,1,0,0,0,1,0
222,14/01/2026,15:06:59,1x Maggie; 1x Cheese tofu; 1x Hotdog,CASH,4.5,,0,4.5,1,0,0,1,0,0,1,0
223,14/01/2026,15:11:04,1x Fish ball; 1x Lobster ball; 1x Fish cake; 1x Hotdog; 1x Maggie; 1x Mocktail,QR,11.5,RM 1 OFFER,1,10.5,0,1,1,1,0,1,1,1
224,14/01/2026,15:17:12,1x Fish cake; 1x Cheese tofu; 1x Lobster ball; 2x Maggie,QR,7.5,,0,7.5,1,0,1,0,0,1,2,0
225,14/01/2026,15:26:59,1x Maggie; 3x Fish ball,QR,6,,0,6,0,3,0,0,0,0,1,0
226,15/01/2026,09:31:09,2x Cheese tofu; 1x Hotdog,QR,4.5,,0,4.5,2,0,0,1,0,0,0,0
227,15/01/2026,09:32:08,2x Fish cake; 1x Hotdog,QR,4.5,,0,4.5,0,0,2,1,0,0,0,0
228,15/01/2026,09:51:16,3x Maggie; 1x Hotdog,QR,6,,0,6,0,0,0,1,0,0,3,0
229,15/01/2026,10:03:18,1x Cheese tofu; 1x Fish cake; 1x Maggie,QR,4.5,,0,4.5,1,0,1,0,0,0,1,0
230,15/01/2026,10:03:49,1x Cheese tofu; 1x Lobster ball; 1x Fish ball; 1x Fish cake,QR,6,,0,6,1,1,1,0,0,1,0,0
231,15/01/2026,10:07:30,1x Fish cake; 1x Cheese tofu; 1x Fish ball; 1x Hotdog; 1x Fish cake,QR,7.5,,0,7.5,1,1,2,1,0,0,0,0
232,15/01/2026,10:10:36,1x Cheese tofu; 1x Fish cake; 1x Maggie,QR,4.5,,0,4.5,1,0,1,0,0,0,1,0
233,15/01/2026,10:21:10,1x Fish cake; 1x Maggie; 1x Cheese tofu; 1x Lemonade,QR,8.5,RM 1 OFFER,1,7.5,1,0,1,0,1,0,1,0
234,15/01/2026,10:23:40,1x Fish ball; 1x Lobster ball; 1x Fish cake; 1x Hotdog; 1x Cheese tofu; 1x Maggie,QR,9,,0,9,1,1,1,1,0,1,1,0
235,15/01/2026,10:38:38,1x Fish ball; 1x Cheese tofu; 1x Maggie,QR,4.5,,0,4.5,1,1,0,0,0,0,1,0
236,15/01/2026,10:43:00,1x Fish cake; 1x Maggie,CASH,3,,0,3,0,0,1,0,0,0,1,0
237,15/01/2026,10:46:17,1x Mocktail,QR,4,,0,4,0,0,0,0,0,0,0,1
238,15/01/2026,10:56:29,1x Mocktail,CASH,4,,0,4,0,0,0,0,0,0,0,1
239,15/01/2026,10:56:47,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
240,15/01/2026,11:00:14,1x Maggie; 2x Cheese tofu; 1x Hotdog,QR,6,,0,6,2,0,0,1,0,0,1,0
241,15/01/2026,11:01:07,1x Lobster ball; 1x Fish cake; 1x Hotdog; 1x Cheese tofu; 1x Maggie,QR,7.5,,0,7.5,1,0,1,1,0,1,1,0
242,15/01/2026,11:05:01,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
243,15/01/2026,11:16:38,1x Maggie; 1x Hotdog; 1x Cheese tofu; 1x Fish cake,QR,6,,0,6,1,0,1,1,0,0,1,0
244,15/01/2026,11:18:46,1x Maggie; 1x Cheese tofu; 1x Hotdog; 1x Fish cake,QR,6,,0,6,1,0,1,1,0,0,1,0
245,15/01/2026,11:20:42,2x Fish ball,QR,3,,0,3,0,2,0,0,0,0,0,0
246,15/01/2026,11:22:48,1x Cheese tofu; 1x Hotdog; 1x Lemonade,QR,7,RM 1 OFFER,1,6,1,0,0,1,1,0,0,0
247,15/01/2026,11:23:09,1x Maggie; 1x Fish cake; 1x Fish ball,QR,4.5,,0,4.5,0,1,1,0,0,0,1,0
248,15/01/2026,11:38:57,1x Cheese tofu; 1x Maggie; 1x Lobster ball,CASH,4.5,,0,4.5,1,0,0,0,0,1,1,0
249,15/01/2026,11:40:35,1x Maggie; 1x Fish cake; 1x Fish ball; 1x Cheese tofu; 1x Lemonade,QR,10,RM 1 OFFER,1,9,1,1,1,0,1,0,1,0
251,15/01/2026,11:47:30,1x Fish ball; 1x Lobster ball; 1x Fish cake; 1x Hotdog; 1x Cheese tofu; 1x Maggie,QR,9,,0,9,1,1,1,1,0,1,1,0
253,15/01/2026,11:51:23,1x Cheese tofu; 1x Lobster ball; 1x Maggie,QR,4.5,,0,4.5,1,0,0,0,0,1,1,0
254,15/01/2026,11:53:52,1x Fish ball; 1x Lobster ball; 1x Fish cake; 1x Hotdog; 1x Cheese tofu; 1x Maggie,QR,9,,0,9,1,1,1,1,0,1,1,0
255,15/01/2026,11:54:24,5x Cheese tofu,QR,7.5,,0,7.5,5,0,0,0,0,0,0,0
256,15/01/2026,11:55:52,1x Cheese tofu; 1x Fish cake; 1x Fish ball; 1x Maggie,QR,6,,0,6,1,1,1,0,0,0,1,0
258,15/01/2026,11:57:30,2x Maggie; 1x Cheese tofu,CASH,4.5,,0,4.5,1,0,0,0,0,0,2,0
259,15/01/2026,11:59:07,1x Maggie; 1x Cheese tofu; 1x Fish cake,QR,4.5,,0,4.5,1,0,1,0,0,0,1,0
260,15/01/2026,12:00:38,1x Maggie; 1x Fish cake; 1x Hotdog; 1x Cheese tofu; 1x Lemonade,QR,10,RM 1 OFFER,1,9,1,0,1,1,1,0,1,0
261,15/01/2026,12:05:01,1x Mocktail,QR,4,,0,4,0,0,0,0,0,0,0,1
262,15/01/2026,12:10:41,1x Maggie; 3x Hotdog,QR,6,,0,6,0,0,0,3,0,0,1,0
263,15/01/2026,12:12:01,1x Maggie; 1x Cheese tofu; 1x Lobster ball; 2x Fish cake,QR,7.5,,0,7.5,1,0,2,0,0,1,1,0
264,15/01/2026,12:15:34,1x Lemonade,QR,4,RM 1 OFFER,1,3,0,0,0,0,1,0,0,0
265,15/01/2026,12:18:52,2x Cheese tofu; 1x Fish cake; 1x Hotdog; 1x Lobster ball,QR,7.5,,0,7.5,2,0,1,1,0,1,0,0
266,15/01/2026,12:26:44,2x Maggie; 1x Cheese tofu,QR,4.5,,0,4.5,1,0,0,0,0,0,2,0
267,15/01/2026,12:31:53,2x Maggie; 1x Cheese tofu; 1x Lobster ball,QR,6,,0,6,1,0,0,0,0,1,2,0
268,15/01/2026,12:33:20,2x Maggie; 2x Cheese tofu,QR,6,,0,6,2,0,0,0,0,0,2,0
269,15/01/2026,12:33:32,2x Maggie; 1x Cheese tofu,QR,4.5,,0,4.5,1,0,0,0,0,0,2,0
270,15/01/2026,12:35:36,2x Maggie; 1x Cheese tofu,QR,4.5,,0,4.5,1,0,0,0,0,0,2,0
271,15/01/2026,12:37:09,1x Maggie; 1x Cheese tofu; 1x Fish ball; 1x Lobster ball,QR,6,,0,6,1,1,0,0,0,1,1,0
272,15/01/2026,12:37:56,1x Maggie; 1x Fish ball; 1x Cheese tofu,QR,4.5,,0,4.5,1,1,0,0,0,0,1,0
273,15/01/2026,12:38:59,1x Lobster ball; 1x Fish cake,QR,3,,0,3,0,0,1,0,0,1,0,0
274,15/01/2026,12:40:26,1x Lobster ball; 1x Cheese tofu; 1x Hotdog,QR,4.5,,0,4.5,1,0,0,1,0,1,0,0
275,15/01/2026,12:49:58,2x Maggie; 1x Cheese tofu; 1x Hotdog,CASH,6,,0,6,1,0,0,1,0,0,2,0
276,15/01/2026,12:51:17,1x Maggie; 1x Cheese tofu; 1x Lobster ball,QR,4.5,,0,4.5,1,0,0,0,0,1,1,0
277,15/01/2026,12:51:45,2x Maggie; 1x Fish cake; 1x Cheese tofu,QR,6,,0,6,1,0,1,0,0,0,2,0
278,15/01/2026,12:51:58,1x Maggie; 1x Hotdog,QR,3,,0,3,0,0,0,1,0,0,1,0
279,15/01/2026,12:56:18,1x Maggie; 1x Hotdog; 2x Cheese tofu,QR,6,,0,6,2,0,0,1,0,0,1,0
280,15/01/2026,12:58:44,1x Maggie,QR,1.5,,0,1.5,0,0,0,0,0,0,1,0
281,15/01/2026,12:59:51,1x Fish ball; 1x Lobster ball; 1x Fish cake; 1x Cheese tofu,QR,6,,0,6,1,1,1,0,0,1,0,0
282,15/01/2026,13:03:16,2x Maggie; 1x Cheese tofu,QR,4.5,,0,4.5,1,0,0,0,0,0,2,0
283,15/01/2026,13:11:17,1x Maggie; 1x Fish ball; 1x Lobster ball; 1x Fish cake; 1x Hotdog; 1x Cheese tofu,QR,9,,0,9,1,1,1,1,0,1,1,0
284,15/01/2026,13:20:46,1x Maggie; 1x Cheese tofu; 1x Hotdog,QR,4.5,,0,4.5,1,0,0,1,0,0,1,0
285,15/01/2026,13:21:51,1x Fish cake; 1x Maggie; 1x Hotdog,QR,4.5,,0,4.5,0,0,1,1,0,0,1,0
286,15/01/2026,13:23:03,2x Cheese tofu; 1x Hotdog; 1x Maggie,QR,6,,0,6,2,0,0,1,0,0,1,0
287,15/01/2026,13:28:20,3x Fish ball; 3x Lobster ball; 3x Fish cake; 3x Hotdog; 3x Cheese tofu; 3x Maggie,CASH,27,,0,27,3,3,3,3,0,3,3,0
288,15/01/2026,13:37:25,1x Fish ball; 1x Lobster ball; 1x Fish cake; 1x Hotdog; 1x Cheese tofu; 2x Maggie,QR,10.5,,0,10.5,1,1,1,1,0,1,2,0
289,15/01/2026,13:37:54,1x Lemonade,QR,4,RM 1 OFFER,1,3,0,0,0,0,1,0,0,0
290,15/01/2026,13:44:28,1x Cheese tofu; 2x Maggie; 1x Fish cake,CASH,6,,0,6,1,0,1,0,0,0,2,0
291,15/01/2026,13:46:44,1x Maggie; 1x Fish cake; 1x Lobster ball; 1x Cheese tofu,QR,6,,0,6,1,0,1,0,0,1,1,0
292,15/01/2026,13:47:41,2x Maggie; 1x Hotdog; 1x Fish cake,QR,6,,0,6,0,0,1,1,0,0,2,0
293,15/01/2026,13:51:25,1x Cheese tofu; 1x Fish cake; 1x Hotdog,QR,4.5,,0,4.5,1,0,1,1,0,0,0,0
294,15/01/2026,13:53:45,2x Maggie; 2x Hotdog; 2x Lobster ball,QR,9,,0,9,0,0,0,2,0,2,2,0
295,15/01/2026,13:59:11,1x Fish ball; 1x Cheese tofu; 1x Hotdog; 1x Maggie,QR,6,,0,6,1,1,0,1,0,0,1,0
296,15/01/2026,14:04:01,1x Maggie,CASH,1.5,,0,1.5,0,0,0,0,0,0,1,0
297,15/01/2026,14:06:58,2x Maggie; 1x Lobster ball; 1x Fish cake; 1x Hotdog; 1x Cheese tofu,QR,9,,0,9,1,0,1,1,0,1,2,0
298,15/01/2026,14:07:11,1x Fish cake; 1x Cheese tofu,QR,3,,0,3,1,0,1,0,0,0,0,0
299,15/01/2026,14:09:22,1x Hotdog; 1x Cheese tofu; 1x Fish ball; 1x Maggie,QR,6,,0,6,1,1,0,1,0,0,1,0
300,15/01/2026,14:13:07,2x Maggie; 1x Hotdog; 1x Cheese tofu,QR,6,,0,6,1,0,0,1,0,0,2,0
301,15/01/2026,14:21:53,1x Cheese tofu; 1x Fish cake; 1x Lobster ball; 1x Maggie,QR,6,,0,6,1,0,1,0,0,1,1,0
302,15/01/2026,14:33:59,1x Cheese tofu; 1x Fish cake; 2x Maggie; 1x Lemonade,QR,10,RM 1 OFFER,1,9,1,0,1,0,1,0,2,0
303,15/01/2026,14:38:03,1x Fish ball; 1x Fish cake,QR,3,,0,3,0,1,1,0,0,0,0,0
304,15/01/2026,14:40:00,1x Maggie; 1x Lobster ball; 1x Cheese tofu,CASH,4.5,,0,4.5,1,0,0,0,0,1,1,0
305,15/01/2026,14:40:14,1x Maggie; 1x Lobster ball; 1x Cheese tofu,CASH,4.5,,0,4.5,1,0,0,0,0,1,1,0
306,15/01/2026,14:47:25,1x Cheese tofu; 1x Fish ball; 1x Maggie; 1x Lemonade,QR,8.5,RM 1 OFFER,1,7.5,1,1,0,0,1,0,1,0
307,15/01/2026,14:56:32,2x Lemonade,QR,8,,0,8,0,0,0,0,2,0,0,0
308,15/01/2026,14:57:19,1x Mocktail,QR,4,,0,4,0,0,0,0,0,0,0,1
309,15/01/2026,14:59:58,2x Maggie; 2x Cheese tofu; 1x Lemonade,QR,10,RM 1 OFFER,1,9,2,0,0,0,1,0,2,0
310,15/01/2026,15:06:30,1x Lemonade,CASH,4,,0,4,0,0,0,0,1,0,0,0
311,15/01/2026,15:10:26,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
312,15/01/2026,15:14:48,1x Maggie; 1x Cheese tofu; 2x Lobster ball; 1x Fish cake; 1x Fish ball,QR,9,,0,9,1,1,1,0,0,2,1,0
313,15/01/2026,15:20:45,1x Maggie; 2x Cheese tofu; 1x Lobster ball; 1x Lobster ball; 1x Hotdog,QR,9,,0,9,2,0,0,1,0,2,1,0
314,15/01/2026,15:22:55,1x Mocktail,QR,4,,0,4,0,0,0,0,0,0,0,1
315,15/01/2026,15:48:57,1x Hotdog; 1x Fish ball; 1x Lobster ball; 1x Maggie,QR,6,,0,6,0,1,0,1,0,1,1,0
316,15/01/2026,15:49:17,1x Lemonade,QR,4,,0,,0,0,0,0,1,0,0,0
317,15/01/2026,15:52:09,2x Maggie; 1x Cheese tofu; 1x Lobster ball; 1x Lemonade,QR,10,RM 1 OFFER,1,9,1,0,0,0,1,1,2,0
318,15/01/2026,16:07:38,1x Cheese tofu; 1x Hotdog,QR,3,,0,3,1,0,0,1,0,0,0,0
319,15/01/2026,16:11:46,2x Fish cake; 1x Cheese tofu; 1x Maggie,QR,6,,0,6,1,0,2,0,0,0,1,0
321,15/01/2026,16:20:42,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
321,15/01/2026,16:25:33,1x Cheese tofu; 1x Hotdog,QR,3,,0,3,1,0,0,1,0,0,0,0
322,15/01/2026,16:27:49,1x Mocktail,QR,4,,0,4,0,0,0,0,0,0,0,1
323,15/01/2026,16:29:12,1x Fish ball; 1x Fish cake; 1x Hotdog; 1x Cheese tofu; 1x Cheese tofu,QR,7.5,,0,7.5,2,1,1,1,0,0,0,0
324,15/01/2026,16:32:01,2x Cheese tofu; 1x Fish cake; 2x Fish ball; 1x Fish cake; 1x Maggie,QR,10.5,,0,10.5,2,2,2,0,0,0,1,0
325,15/01/2026,16:32:30,1x Cheese tofu; 1x Hotdog,QR,3,,0,3,1,0,0,1,0,0,0,0
326,15/01/2026,16:33:59,1x Hotdog; 1x Cheese tofu; 1x Fish cake,QR,4.5,,0,4.5,1,0,1,1,0,0,0,0
327,15/01/2026,16:43:58,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
328,15/01/2026,16:52:53,2x Maggie; 2x Hotdog,QR,6,RM2 VOUCHER,2,4,0,0,0,2,0,0,2,0
1,16/01/2026,09:59:42,2x Cheese Tofu; 1x Lobster ball; 1x Sausage,QR,6,,0,6,2,0,0,1,0,1,0,0
2,16/01/2026,10:00:11,1x Cheese Tofu; 1x Maggie; 1x Fishball; 1x Fishcake; 1x Lobster ball; 1x Sausage,QR,9,,0,9,1,1,1,1,0,1,1,0
3,16/01/2026,10:06:56,1x Cheese Tofu; 1x Maggie; 1x Fishball; 1x Fishcake; 1x Lobster ball; 1x Sausage,QR,9,,0,9,1,1,1,1,0,1,1,0
4,16/01/2026,10:14:35,1x Maggie; 1x Fishball; 1x Cheese Tofu; 1x Fishcake; 1x Lobster ball,QR,7.5,,0,7.5,1,1,1,0,0,1,1,0
5,16/01/2026,10:18:40,1x Maggie; 1x Sausage,QR,3,,0,3,0,0,0,1,0,0,1,0
6,16/01/2026,10:19:41,1x Fishcake; 1x Fishball; 1x Cheese Tofu,QR,4.5,,0,4.5,1,1,1,0,0,0,0,0
7,16/01/2026,10:22:50,1x Maggie; 2x Cheese Tofu,QR,4.5,,0,4.5,2,0,0,0,0,0,1,0
8,16/01/2026,10:24:03,2x Maggie; 1x Cheese Tofu; 1x Fishcake; 1x Sausage,QR,7.5,,0,7.5,1,0,1,1,0,0,2,0
10,16/01/2026,10:27:26,1x Cheese Tofu; 2x Fishcake; 1x Sausage ; 1x Cheese Tofu,QR,7.5,,0,7.5,2,0,2,1,0,0,0,0
11,16/01/2026,10:31:53,1x Maggie; 1x Lobster ball; 1x Fishball; 1x Fishcake,QR,6,,0,6,0,1,1,0,0,1,1,0
12,16/01/2026,10:40:18,1x Cheese Tofu; 1x Fishball; 1x Fishcake; 1x Sausage ; 1x Lobster ball,CASH,7.5,,0,7.5,1,1,1,1,0,1,0,0
13,16/01/2026,10:42:54,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
14,16/01/2026,10:44:12,1x Maggie; 1x Sausage,QR,3,,0,3,0,0,0,1,0,0,1,0
15,16/01/2026,10:44:34,1x Maggie; 1x Fishcake,QR,3,,0,3,0,0,1,0,0,0,1,0
16,16/01/2026,10:48:10,1x Lemonade,QR,4,BUNDLE,1,3,0,0,0,0,1,0,0,0
17,16/01/2026,10:49:48,1x Cheese Tofu; 1x Maggie; 1x Fishball; 1x Fishcake; 1x Sausage ; 1x Lobster ball; 1x Lemonade,QR,13,BUNDLE,1,12,1,1,1,1,1,1,1,0
18,16/01/2026,10:52:58,1x Maggie; 1x Cheese Tofu; 1x Fishcake; 1x Lemonade,QR,8.5,BUNDLE,1,7.5,1,0,1,0,1,0,1,0
19,16/01/2026,10:56:42,1x Cheese Tofu; 1x Fishcake; 1x Fishball,QR,4.5,,0,4.5,1,1,1,0,0,0,0,0
20,16/01/2026,11:14:10,1x Maggie; 1x Lobster ball; 1x Cheese Tofu; 1x Fishcake; 1x Cheese Tofu; 1x Mocktail,QR,11.5,BUNDLE,1,10.5,2,0,1,0,0,1,1,1
21,16/01/2026,11:16:26,1x Maggie,QR,1.5,,0,1.5,0,0,0,0,0,0,1,0
22,16/01/2026,11:19:47,1x Lemonade ; 2x Maggie; 1x Lobster ball; 1x Cheese Tofu,QR,10,BUNDLE,1,9,1,0,0,0,1,1,2,0
23,16/01/2026,11:26:00,1x Cheese Tofu; 1x Cheese Tofu,CASH,3,,0,3,2,0,0,0,0,0,0,0
24,16/01/2026,11:30:24,2x Fishball; 2x Fishcake; 1x Maggie; 1x Sausage ; 1x Cheese Tofu; 1x Lemonade,QR,14.5,BUNDLE,1,13.5,1,2,2,1,1,0,1,0
25,16/01/2026,11:30:40,1x Lobster ball; 1x Sausage,QR,3,,0,3,0,0,0,1,0,1,0,0
